TAL SHEVA|31.2456487|34.8577683
BEER SHEVA|31.2525238|34.7905787
UMM AL-FAHM|32.5158385|35.152491
OFAQIM|31.3125831|34.6208537
OR YEHUDA|32.0309712|34.8523936
OR AQIVA|32.5090151|34.9195677
ELAT|29.5569348|34.9497949
ASHDOD|31.7977307|34.652994
ASHQELON|31.6644874|34.5730157
BAQA ALGHARBIYYE|32.4188616|35.0358568134225
BET SHE'AN|32.4967519|35.4973022
BET SHEMESH|31.746214|34.9886825
DIMONA|31.0686612|35.0366482
HOD HASHARON|32.1561974|34.8930354
HERZLIYYA|32.1720339|34.8309983825015
ZIKHRON YA'AQOV|32.5711587|34.9529966
HADERA|32.43699|34.9198258
HOLON|32.0193121|34.7804076
HURA|31.2972468|34.9379061
HAIFA|32.8191218|34.9983856
TIBERIAS|32.7938522|35.5328566
TAYIBE|32.2671249|35.0089029
YAVNE|31.8768863|34.7382974
YOQNE'AM|32.0775127|34.7960462
JERUSALEM|31.778345|35.2250786
KUSEIFE|31.2465374|35.0930574
KEFAR SAVA|32.1773471|34.907459
KAFAR QASEM|32.1139357|34.9760002
KARMI'EL3|32.9159104|5.293429
LOD|31.9489012|34.8884857
LAQYE|31.324666|34.8661185
MODI'IN|31.9547402|34.8917855
NAHARIYYA|33.006306|35.0945579
NAZARETH|32.7066301|35.3048161
NETIVOT|31.4213546|34.5884252
NETANYA|32.3286181|34.8566246
SAKHNIN|32.8638052|35.3023184
AKKO|32.9281731|35.0756378
AFULA|32.6075587|35.2890861
AR'ARA-BANEGEV|31.1581694|35.0284251
ARAD|31.2612199|35.214581
PETAH TIQWA|32.0877639|34.8859985
ZEFAT|32.97044815|35.4995643765288
QALANSAWE|32.2848603|34.9801701
QIRYAT GAT|31.6031494|34.7779274
QIRYAT MAL'AKHI|31.3026006|34.6231878
QIRYAT SHEMONA|33.2074733|35.5707828
RAHAT|31.3932933|34.7547693
RAMLA|31.9279988|34.8623473
SEGEV-SHALOM|31.2008757|34.8400872
SEDEROT|31.526474|34.5969679
SHEFAR'AM|32.8045765|35.1723866
TEL AVIV - YAFO3|32.0804808|4.7805274
TEL SHEVA|31.2456487|34.8577683
